title,url,year,citations
Ranking Model with a Reduced Feature Set for an Automated Question Generation System,https://aclanthology.org/W15-5954,2015,3
Natural Language Processing for Solving Simple Word Problems,https://aclanthology.org/W15-5955,2015,7
Analysis of Influence of {L}2 {E}nglish Speakers{'} Fluency on Occurrence and Duration of Sentence-medial Pauses in {E}nglish Readout Speech,https://aclanthology.org/W15-5956,2015,0
Acoustic Correlates of Voicing and Gemination in {B}angla,https://aclanthology.org/W15-5957,2015,0
Proceedings of the 18th Annual Conference of the {E}uropean Association for Machine Translation,https://aclanthology.org/W15-4900,2015,0
Exploiting portability to build an {RBMT} prototype for a new source language,https://aclanthology.org/W15-4901,2015,4
Building hybrid machine translation systems by using an {EBMT} preprocessor to create partial translations,https://aclanthology.org/W15-4902,2015,0
Using on-line available sources of bilingual information for word-level machine translation quality estimation,https://aclanthology.org/W15-4903,2015,8
A general framework for minimizing translation effort: towards a principled combination of translation technologies in computer-aided translation,https://aclanthology.org/W15-4904,2015,6
Can Translation Memories afford not to use paraphrasing?,https://aclanthology.org/W15-4905,2015,16
Dependency-based Reordering Model for Constituent Pairs in Hierarchical {SMT},https://aclanthology.org/W15-4906,2015,6
The role of artificially generated negative data for quality estimation of machine translation,https://aclanthology.org/W15-4907,2015,6
Document-Level Machine Translation with Word Vector Models,https://aclanthology.org/W15-4908,2015,12
The potential and limits of lay post-editing in an online community,https://aclanthology.org/W15-4909,2015,3
Post-Editing Evaluations: Trade-offs between Novice and Professional Participants,https://aclanthology.org/W15-4910,2015,34
Benchmarking {SMT} Performance for {F}arsi Using the {TEP}++ Corpus,https://aclanthology.org/W15-4911,2015,7
Dynamic Terminology Integration Methods in Statistical Machine Translation,https://aclanthology.org/W15-4912,2015,14
Identifying main obstacles for statistical machine translation of morphologically rich {S}outh {S}lavic languages,https://aclanthology.org/W15-4913,2015,12
Poor man{'}s lemmatisation for automatic error classification,https://aclanthology.org/W15-4914,2015,2
Truly Exploring Multiple References for Machine Translation Evaluation,https://aclanthology.org/W15-4915,2015,12
Searching for Context: a Study on Document-Level Labels for Translation Quality Estimation,https://aclanthology.org/W15-4916,2015,22
Stripping Adjectives: Integration Techniques for Selective Stemming in {SMT} Systems,https://aclanthology.org/W15-4917,2015,2
Evaluating machine translation for assimilation via a gap-filling task,https://aclanthology.org/W15-4918,2015,10
Unsupervised training of maximum-entropy models for lexical selection in rule-based machine translation,https://aclanthology.org/W15-4919,2015,3
Assessing linguistically aware fuzzy matching in translation memories,https://aclanthology.org/W15-4920,2015,15
Re-assessing the {WMT}2013 Human Evaluation with Professional Translators Trainees,https://aclanthology.org/W15-4921,2015,7
"Integrating a Large, Monolingual Corpus as Translation Memory into Statistical Machine Translation",https://aclanthology.org/W15-4922,2015,5
Target-Side Generation of Prepositions for {SMT},https://aclanthology.org/W15-4923,2015,3
Word Alignment Based Parallel Corpora Evaluation and Cleaning Using Machine Learning Techniques,https://aclanthology.org/W15-4924,2015,11
Content Translation: Computer assisted translation tool for {W}ikipedia articles,https://aclanthology.org/W15-4925,2015,5
Pre-reordering for Statistical Machine Translation of Non-fictional Subtitles,https://aclanthology.org/W15-4926,2015,0
{SMT} at the International Maritime Organization: experiences with combining in-house corpora with out-of-domain corpora,https://aclanthology.org/W15-4927,2015,2
Evaluation of the domain adaptation of {MT} systems in {ACCURAT},https://aclanthology.org/W15-4928,2015,0
{M}ixed{E}motions: Social Semantic Emotion Analysis for Innovative Multilingual Big Data Analytics Markets,https://aclanthology.org/W15-4929,2015,0
"The {ACCEPT} Academic Portal: Bringing Together Pre-editing, {MT} and Post-editing into a Learning Environment",https://aclanthology.org/W15-4930,2015,0
{R}ussian-{C}hinese Sentence-level Aligned News Corpus,https://aclanthology.org/W15-4931,2015,4
{H}im{L} (Health in my Language),https://aclanthology.org/W15-4932,2015,4
{MT}-enhanced fuzzy matching with Transit {NXT} and {STAR} {M}oses,https://aclanthology.org/W15-4933,2015,2
{H}andy{CAT} - An Open-Source Platform for {CAT} Tool Research,https://aclanthology.org/W15-4934,2015,0
{T}ra{MOOC}: Translation for Massive Open Online Courses,https://aclanthology.org/W15-4935,2015,1
Streamlining Translation Workflows with {S}tyle{S}corer,https://aclanthology.org/W15-4936,2015,0
{E}stonian-{E}nglish Reversible Smart Phone Dictionary of Military Terms and Relevant Vocabulary,https://aclanthology.org/W15-4937,2015,0
{FALCON}: Federated Active Linguistic data {C}urati{ON},https://aclanthology.org/W15-4938,2015,0
Tapad{\'o}ir,https://aclanthology.org/W15-4939,2015,0
